1. The Metamorphosis, Franz Kafka, 1915, Novella / Absurdist, 6.50 EUR, German, 74;
34. Beloved, Toni Morrison, 1987, Historical / Magical realism, 13.50 EUR, English, 324;
35. To Kill a Mockingbird, Harper Lee, 1960, Southern Gothic / Legal drama, 11.50 EUR, English, 325;
36. 1984, George Orwell, 1949, Dystopia, 9.50 EUR, English, 328;
37. Madame Bovary, Gustave Flaubert, 1856, Realist novel, 10.00 EUR, French, 330;
38. The Silence of the Lambs, Thomas Harris, 1988, Thriller / Crime, 9.99 EUR, English, 352;
39. The Selfish Gene, Richard Dawkins, 1976, Science / Biology, 13.00 EUR, English, 360;
40. Love in the Time of Cholera, Gabriel García Márquez, 1985, Romance / Magical realism, 11.00 EUR, Spanish, 368;
41. The Kite Runner, Khaled Hosseini, 2003, Drama / Historical, 10.00 EUR, English, 371;
42. The Power of Habit, Charles Duhigg, 2012, Self-help / Psychology, 12.50 EUR, English, 373;
43. The Immortal Life of Henrietta Lacks, Rebecca Skloot, 2010, Biography / Science, 12.00 EUR, English, 381;
44. A Thousand Splendid Suns, Khaled Hosseini, 2007, Historical fiction, 11.00 EUR, English, 384;
45. Faust, Johann Wolfgang von Goethe, 1808, Drama / Tragedy, 14.00 EUR, German, 385;
46. The Republic, Plato, 4th century BC, Philosophy / Political theory, 12.00 EUR, Ancient Greek, 416;
47. One Hundred Years of Solitude, Gabriel García Márquez, 1967, Magical realism, 11.99 EUR, Spanish, 417;
48. Dracula, Bram Stoker, 1897, Gothic horror, 9.50 EUR, English, 418;
49. Gone Girl, Gillian Flynn, 2012, Psychological thriller, 12.50 EUR, English, 422;
50. Pride and Prejudice, Jane Austen, 1813, Novel (Romance), 9.90 EUR, English, 432;
51. The Stranger Beside Me, Ann Rule, 1980, True crime, 10.00 EUR, English, 448;
52. American Gods, Neil Gaiman, 2001, Fantasy / Mythic fiction, 12.50 EUR, English, 465;
53. The Girl with the Dragon Tattoo, Stieg Larsson, 2005, Crime / Mystery, 10.99 EUR, Swedish, 467;
54. The Grapes of Wrath, John Steinbeck, 1939, Social novel, 11.00 EUR, English, 470;
55. For Whom the Bell Tolls, Ernest Hemingway, 1940, War novel, 11.50 EUR, English, 480;
56. The Shadow of the Wind, Carlos Ruiz Zafón, 2001, Mystery / Historical fiction, 12.00 EUR, Spanish, 487;
57. Sapiens: A Brief History of Humankind, Yuval Noah Harari, 2011, Non-fiction / History, 16.00 EUR, Hebrew/English, 498;
58. Thinking, Fast and Slow, Daniel Kahneman, 2011, Psychology / Non-fiction, 14.50 EUR, English, 499;
59. Cloud Atlas, David Mitchell, 2004, Experimental novel / Speculative, 13.50 EUR, English, 509;
60. The Little Friend, Donna Tartt, 2002, Literary fiction / Mystery, 13.00 EUR, English, 512;
61. The Name of the Rose, Umberto Eco, 1980, Historical mystery, 13.50 EUR, Italian, 513;
62. The Odyssey, Homer, ancient, Epic poetry, 13.00 EUR, Ancient Greek, 541;
63. Long Walk to Freedom, Nelson Mandela, 1994, Autobiography, 16.00 EUR, English/Afrikaans, 656;
64. Crime and Punishment, Fyodor Dostoevsky, 1866, Psychological novel, 12.50 EUR, Russian, 671;
65. The Three Musketeers, Alexandre Dumas, 1844, Adventure, 11.00 EUR, French, 672;
66. The Iliad, Homer, ancient, Epic poetry, 13.00 EUR, Ancient Greek, 704;
67. The Divine Comedy, Dante Alighieri, 1320, Epic poem / Allegory, 15.00 EUR, Italian, 798;
68. The Brothers Karamazov, Fyodor Dostoevsky, 1880, Philosophical novel, 16.00 EUR, Russian, 824;
69. Don Quixote, Miguel de Cervantes, 1605, Satire / Novel, 14.00 EUR, Spanish, 863;
70. Anna Karenina, Leo Tolstoy, 1877, Realist novel, 15.50 EUR, Russian, 864;
71. The Count of Monte Cristo, Alexandre Dumas, 1844, Adventure / Historical, 15.00 EUR, French, 1126;
72. War and Peace, Leo Tolstoy, 1869, Historical novel, 18.00 EUR, Russian, 1225;
73. The Lord of the Rings, J.R.R. Tolkien, 1954, Epic fantasy, 25.00 EUR, English, 1237;
74. Les Misérables, Victor Hugo, 1862, Historical novel, 20.00 EUR, French, 1463;
