43. Pride and Prejudice, Jane Austen, 1813, Novel (Romance), 9.90 EUR, English, 432;
41. The Old Man and the Sea, Ernest Hemingway, 1952, Novella, 7.99 EUR, English, 127;
57. A Brief History of Time, Stephen Hawking, 1988, Popular science, 14.00 EUR, English, 256;
23. Sapiens: A Brief History of Humankind, Yuval Noah Harari, 2011, Non-fiction / History, 16.00 EUR, Hebrew/English, 498;
61. The Selfish Gene, Richard Dawkins, 1976, Science / Biology, 13.00 EUR, English, 360;
4. The Art of War, Sun Tzu, ancient, Military treatise, 6.00 EUR, Classical Chinese, 128;
69. Meditations, Marcus Aurelius, ~2nd century, Philosophy / Stoicism, 8.00 EUR, Ancient Greek, 256;
20. The Prince, Niccolò Machiavelli, 1532, Political treatise, 7.50 EUR, Italian, 140;
50. The Republic, Plato, ~4th century BC, Philosophy / Political theory, 12.00 EUR, Ancient Greek, 416;
36. Walden, Henry David Thoreau, 1854, Philosophy / Memoir, 9.00 EUR, English, 320;
28. The Diary of a Young Girl, Anne Frank, 1947, Memoir / History, 9.50 EUR, Dutch, 283;
62. Night, Elie Wiesel, 1956, Memoir / Holocaust, 8.50 EUR, Yiddish/French, 120;
15. Long Walk to Freedom, Nelson Mandela, 1994, Autobiography, 16.00 EUR, English/Afrikaans, 656;
33. The Power of Habit, Charles Duhigg, 2012, Self-help / Psychology, 12.50 EUR, English, 371;
46. Thinking, Fast and Slow, Daniel Kahneman, 2011, Psychology / Non-fiction, 14.50 EUR, English, 499;
22. Man's Search for Meaning, Viktor E. Frankl, 1946, Psychology / Memoir, 9.00 EUR, German, 200;
73. The Picture of Dorian Gray, Oscar Wilde, 1890, Gothic novel / Decadent literature, 8.50 EUR, English, 254;
26. Dracula, Bram Stoker, 1897, Gothic horror, 9.50 EUR, English, 418;
54. Frankenstein, Mary Shelley, 1818, Gothic / Science fiction, 8.00 EUR, English, 280;
40. The Count of Monte Cristo, Alexandre Dumas, 1844, Adventure / Historical, 15.00 EUR, French, 1276;
13. The Three Musketeers, Alexandre Dumas, 1844, Adventure, 11.00 EUR, French, 672;
67. The Stranger Beside Me, Ann Rule, 1980, True crime, 10.00 EUR, English, 448;
35. The Immortal Life of Henrietta Lacks, Rebecca Skloot, 2010, Biography / Science, 12.00 EUR, English, 381;
31. The Bell Jar, Sylvia Plath, 1963, Semi-autobiographical novel, 9.00 EUR, English, 244;
48. Mrs Dalloway, Virginia Woolf, 1925, Modernist novel, 10.00 EUR, English, 216;
16. To the Lighthouse, Virginia Woolf, 1927, Modernist novel, 11.00 EUR, English, 209;
65. Cloud Atlas, David Mitchell, 2004, Experimental novel / Speculative, 13.50 EUR, English, 509;
37. The Shadow of the Wind, Carlos Ruiz Zafón, 2001, Mystery / Historical fiction, 12.00 EUR, Spanish, 487;
47. Love in the Time of Cholera, Gabriel García Márquez, 1985, Romance / Magical realism, 11.00 EUR, Spanish, 368;
42. The Little Friend, Donna Tartt, 2002, Literary fiction / Mystery, 13.00 EUR, English, 512;
38. American Gods, Neil Gaiman, 2001, Fantasy / Mythic fiction, 12.50 EUR, English, 465;
51. The Road to Wigan Pier, George Orwell, 1937, Non-fiction / Social reportage, 9.00 EUR, English, 232;
56. Amintiri din copilarie, Ion Creangă, 1881, Memorii / Literatură pentru copii, 6.50 EUR, Romanian, 176;
